"","author","paper_title","publication_year","aim_study","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","how_computed_1","how_computed_2","how_computed_3","how_computed_4","how_computed_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_1","intervention_2","intervention_3","intervention_4","intervention_5","intervention_times_1","intervention_times_2","intervention_times_3","intervention_times_4","intervention_times_5","exposure_1","exposure_2","exposure_3","exposure_4","exposure_5","exposure_times_1","exposure_times_2","exposure_times_3","exposure_times_4","exposure_times_5","domain","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","test-retest_result_1","test-retest_result_2","test-retest_result_3","test-retest_result_4","test-retest_result_5","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","comparison_significant_1","comparison_significant_2","comparison_significant_3","comparison_significant_4","comparison_significant_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","characteristics_sample_1","characteristics_sample_2","characteristics_sample_3","characteristics_sample_4","characteristics_sample_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"183","Wirz","Evaluating the Effects of News-following, Volume and Content of News Coverage on Americans’ Risk Perceptions during the 2014-2016 Ebola Outbreak",2021,"we analyzed how public opinion from longitudinal u.s. panel data related to the number of published news articles and the proportion that discussed risks.","longitudinal panel study of americans’ ebola views from a national sample, members of the decision research online panel","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"6-point likert scale",NA,NA,NA,NA,"judged risk of ebola to the u.s. and globally.",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ebola",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; health catastrophe; other: media","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"u.s. risk perceptions decreased over the course of the three surveys",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,815,NA,NA,NA,NA,0.52,NA,NA,NA,NA,"45.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Bhandari","Emotional States and Their Impact on Hazard Identification Skills",2016,"this study examines the connection between emotion 
and hazard recognition.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"9-point likert",NA,NA,NA,NA,"participants were asked to rate the frequency with which an injury may occur at various levels of severity. risk perception was then quantified for each severity level by finding the product of frequency and the severity. the overall risk perception for a particular participant and a particular photograph was measured by taking the average across all severity levels.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"induce target emotions with auto-bio recall",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: safety and hazard recognition","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,45,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Mullins","Human Papillomavirus Vaccine-Related Risk Perceptions and  Subsequent Sexual Behaviors and Sexually Transmitted Infections among Vaccinated Adolescent Women",2016,"to examine the association between risk perceptions after human papillomavirus (hpv) vaccination and sexual behaviors and sexually transmitted infection (sti) diagnosis over 30 months following vaccination.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"10-point visual analog scale",NA,NA,NA,NA,"10 items",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,"first human papillomavirus vaccine dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: human papillomavirus vaccine","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"perceived risk of stis other than hpv decreased over time  (p=0.027)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"only female",NA,NA,NA,NA,"adolescents and young adults",NA,NA,NA,NA,"united states of america",NA,NA,NA,NA,112,NA,NA,NA,NA,1,NA,NA,NA,NA,"17.9",NA,NA,NA,NA,2.2,NA,NA,NA,NA,13,NA,NA,NA,NA,21,NA,NA,NA,NA
"186","Kang","Reliability and Validity of the Korean Version of the Penn State Worry Questionnaire in Primary School Children",2010,"this study investigated the reliability and validity of the korean version of the penn state worry questionnaire for children (pswq-ck).",NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"pswq-c is a 14-item questionnaire for measuring whether 
children have excessive, generalized, and uncontrollable wor-
ries",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: questionnaire validation","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r = .83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"children",NA,NA,NA,NA,"south korea",NA,NA,NA,NA,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.6",NA,NA,NA,NA,1.1,NA,NA,NA,NA,8,NA,NA,NA,NA,12,NA,NA,NA,NA
"187","Brown","Relationships between risk-taking behaviour and subsequent risk perceptions",2005,"the aim of this study was to examine this relationship
using estimates of personal risk inherent in exceeding limits in common speed zones, rather than traditional risk perception items that can be confounded by engagement in risk taking",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert",NA,NA,NA,NA,"risk perfception = risk estimates and risk beliefs",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"a campaign against speeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: speeding","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1 - t2 (perceived danger at 70) 
t1 - t2 (perceived danger at 80)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 weeks",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"united kingdom",NA,NA,NA,NA,255,NA,NA,NA,NA,0.53,NA,NA,NA,NA,"42",NA,NA,NA,NA,13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Visschers","How a Nuclear Power Plant Accident Influences Acceptance of Nuclear Power: Results of a Longitudinal Study Before and After the Fukushima Disaster",2013,"in a longitudinal study that included two waves, we examined how the accident at the nuclear power plant in fukushima changed people’s trust, their perceptions of benefits and risks, and their acceptance of nuclear power in the german-speaking part of switzerland.",NA,"longitudinal","risk",NA,NA,NA,NA,"questionnaire",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"items in the questionnaire to assess risk perception",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fukushima nuclear power plant accident. survey conducted in switzerland",NA,NA,NA,NA,1,NA,NA,NA,NA,"nuclear power accidents","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2 (before and after fukushima). respondents’ level of risk
perception significantly increased after the nuclear
accident. however, the sizes of the differences (i.e.,
0.79 at maximum for perceived risks, measured on 7-
point likert scales) between the two surveys indicate
that respondents had not completely changed their
views on nuclear power.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 year",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"switzerland",NA,NA,NA,NA,790,NA,NA,NA,NA,0.32,NA,NA,NA,NA,"57.15",NA,NA,NA,NA,15.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Ullrich-Kleinmanns","Patterns and Course of Psychoactive Drug Use During Adolescence: the Relevance of Risk Perceptions and Sense of Coherence as Protective Factors",2008,"to describe the patterns and course 
of use of psychoactives among adolescents and 
to analyse the relevance of risk perceptions and 
sense of coherence as protective factors.","risa panel study","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"in order to assess the risk perception with regard to psychoactive substances, the adolescents were asked at all survey times how risky they considered the use of various psychoactive substances to be for humans in general (general risk perception). 
(general risk perception). in addition, the users of various substances were asked how risky they considered their own use of the respective substance to be. 
(personal risk perception).",NA,NA,NA,NA,"7",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cigarettes ; drugs","yes",NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,"the general risk perception proves to be a relatively stable cognition. the already mentioned finding that tobacco and alcohol consumption are assessed in roughly the same way, while cannabis consumption is assessed as more dangerous than the two legal drugs, also remains unchanged over time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"students",NA,NA,NA,NA,"adolescents",NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,NA,NA,NA,0.51,NA,NA,NA,NA,"14",NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Choi","Keep your distance: Different roles for knowledge and affect in predicting social distancing behavior",2022,"the current study examines predictors of social distancing behavior across populations (students and community members) and across time in the early months of the covid-19 pandemic, focusing on two 
factors commonly associated with risk perception and prevention: knowledge and affect.","https://osf.io/9wgq8/view_only=4c9812d39b8e4b1d91a17ac73a954107","longitudinal","threat",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale (strongly disagree - strongly agree)",NA,NA,NA,NA,"for an index of negative affect, we averaged participants’ responses 
on how vulnerable they felt to covid-19 and how concerned they were about potentially catching covid-19. participants also completed a set of individual difference measures that tap into chronic levels of threat perception.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,"yes",NA,NA,NA,NA,"once",NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: threat perception and social distancing behavior","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Qin","Tracing Temporal Changes in the Human Dimensions of Forest Insect Disturbance on the Kenai Peninsula, Alaska",2015,"our research focused on whether local risk perceptions and community actions in response to the infestation changed as natural disturbances and hazards varied from one event to another.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"direct/indirect risk perception: rate concern about a series of forest risks on a scale from 1 to 5
(1=not concerned, 5=extremely concerned). factor analysis revealed two factors among these variables: (1) direct risk perception/perception of immediate threats to personal property
and safety (forest fire, grass fire, and falling trees); and (2) indirect risk perception/perception of broader threats to
community and ecological well-being (loss of community identity tied to the forest, loss of forest as an economic resource, decline in fish and wildlife habitat, increased
erosion and runoff, and loss of scenic/aesthetic quality). composite index variables were created by calculating the mean response value of each risk perception category",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natural catastrophe; other: forest insect disturbance","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2, significant for some communities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Fu","Informational support, risk perception, anti-pandemic motivation and behavior: a longitudinal study in China",2023,"to investigate the associations among informational support from three different channels, two individual internal factors, and two kinds of anti-pandemic behavior","data available upon request","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"3 items",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"stage 1 - stage 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 months",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"china",NA,NA,NA,NA,1233,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,74,NA,NA,NA,NA
"193","Elad-Strenger","Revisiting the Effects of Societal Threat Perceptions on
Conflict-related Positions: A Three-wave Study",2018,"the aim of this study was to examine the hypothesis that although certain types of perceived societal threats are associated with adherence to conservative political
positions, other types of perceived societal threat can be associated with increased endorsement of liberal political positions.","midgam project web panel","longitudinal","threat",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"7-point likert scale",NA,NA,NA,NA,"liberal threat and conservative threat",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"real-life political events",NA,NA,NA,NA,NA,NA,NA,NA,NA,"other: political","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"liberal t1-t2: 0.47
liberal t2-t3: 0.54
conservative t1-t2: 0.52
conservative t2-t3: 0.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"t1-t2
t2-t3",NA,NA,NA,NA,"3 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"jewish-israelis",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"israel",NA,NA,NA,NA,437,NA,NA,NA,NA,0.52,NA,NA,NA,NA,"41.2",NA,NA,NA,NA,15.5,NA,NA,NA,NA,19,NA,NA,NA,NA,77,NA,NA,NA,NA
"194","Tu","Mass media, information and demand for environmental quality: Evidence from the “Under the Dome”",2020,"this paper estimates the effect of mass media on public willingness to pay (wtp) for better environmental quality.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"health and environmental risk perception",NA,NA,NA,NA,"27",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"documentary “under the dome” is a famous event
about the problem of air pollution in china which is produced by the well-known journalist – chai jing.",NA,NA,NA,NA,1,NA,NA,NA,NA,"health; other: media, environment and air pollution","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lipkus","Breast cancer risk perceptions and breast cancer worry: what predicts what?",2005,"in this article, we review and then provide data about how the target of estimated risk (perceived absolute and comparative) and whether women’s risk perceptions are accurate or biased (based on their gail model scores) relate to their worry about breast cancer, using both cross-sectional and prospective data.",NA,"serial-cross sectional","risk","risk","worry",NA,NA,"scale","single item","scale",NA,NA,"0–100% point scale and 6-point likert scale","5-point likert scale: much below average, slightly below average, same average risk, slightly above average, and much above average","6-point likert scale",NA,NA,"2 items.
perceptions of absolute risk. women rated their numerical risk on a 0–100% point scale where 0%5no chance and 100%5certain to happen. the verbal estimate was
based on 6-point likert scales using the same anchors (15no chance to 65certain to
happen). using the same numerical and verbal scales, participants also rated the perceived
absolute risk for a woman their age and race without any known risk factors.
","perceptions of comparative risk. participants estimated their lifetime chance of getting breast cancer compared to a woman","3 items.
women were asked separately how worried, fearful, and anxious they were of getting breast cancer in their lifetime;",NA,NA,"2",2,2,NA,NA,"single","single","single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer ; other: breast cancer","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Tenkorang","Perceived vulnerability and HIV testing among youth in Cape Town, South Africa",2016,"this paper adds to the extant literature by using longitudinal data to examine if changes in the perceived vulnerability of youth in cape town south africa are associated with changes in hiv testing behaviors.","cape area panel survey (caps)","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"4-point likert scale: no risk, small risk, medium risk, great risk",NA,NA,NA,NA,"these include questions that asked youth their perceived risks of contracting hiv and if they know of someone infected with hiv.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: hiv","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Liao","Comparison of Different Risk Perception Measures in
Predicting Seasonal Influenza Vaccination among Healthy Chinese Adults in Hong Kong: A Prospective
Longitudinal Study",2013,"this survey principally aimed to investigate people’s vaccination uptake against seasonal influenza and their related perceptions.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"2-point likert
6-point likert
7-point likert
percentage scale",NA,NA,NA,NA,"four items addressed risk probability judgment with different response scales (either verbal
or numeric scales) including one 2-point verbal scale (unlikely/
likely), one 6-point verbal scale (extremely likely/very likely/
somewhat likely/somewhat unlikely/unlikely/very unlikely), one 7-point verbal scale (almost zero/very small/small/moderate/
large/very large/almost certain) and one percentage numeric scale (ranged from 0% to 100%).",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health catastrophe; other: vaccination","yes",NA,NA,NA,NA,"correlation",NA,NA,NA,NA,"bivariate spearman correlation: 0.13-0.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"risk probability judgement, beliefs about risk, feeling at risk, vaccination uptake",NA,NA,NA,NA,"1 year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"china",NA,NA,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Muris","The Stability of Threat Perception Abnormalities and Anxiety Disorder Symptoms in Non-Clinical Children",2004,"the current study examined the temporal stability of threat perception abnormalities and anxiety disorder symptoms in non-clinical children.",NA,"longitudinal","threat",NA,NA,NA,NA,"audiotaped, hypothetical stories",NA,NA,NA,NA,"10-point likert scale",NA,NA,NA,NA,"2 items.
 “what do you think? is this going to be a scary or a non-scary story?” two threat perception scores were derived from children’s answers to this question.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: mental health","yes",NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"r= 0.44-0.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"children",NA,NA,NA,NA,"belgium",NA,NA,NA,NA,113,NA,NA,NA,NA,0.33,NA,NA,NA,NA,"10.1",NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,13,NA,NA,NA,NA
"199","Li","Changes of public risk perception in China: 2008–2018",2021,"we explore key factors that influence the acceptance of seven typical risks: drinking water pollution, interior decoration,
electromagnetic radiation, air pollution, chemical plants, public transportation, and natural hazards, reflecting the general and referential changes in risk perception.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"5-point likert scale",NA,NA,NA,NA,"part 1's 5 questions addressed individual perception towards seven risks. five items were set up to measure the risk characteristics: 1). how do you know about the risk? 2). do
you think you can get benefit from it when you use or face it? 3). how
much do you think it threatens you? 4). do you think the risk is accept-
able? 5). do you think the standards for risk prevention made by gov-
ernment are strict or not? these questions measured the risk
characteristics perceived by public at different latitudes, and were
namely as concern, benefit, risk, acceptance and trust, respectively.
these five dimensions are the general representative and common
risk characteristic factors verified by chinese population",NA,NA,NA,NA,"10",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; health catastrophe; natural catastrophe; other: drinking water, chemical plant, air pollution, electromagnetic radiation, interior decoration, public transportation, natural disaster","yes",NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,"t1-t2 risk perception of drinking water, chemical plant, air pollution, electromagnetic radiation, interior decoration, public transportation, natural disaster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 years",NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"china",NA,NA,NA,NA,2391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Bettinger","Risk Perceptions, Condom Use, and Sexually Transmitted Diseases Among Adolescent Females According to Social Network Position",2004,"the goal of this study was to determine if risk perceptions, condom use, and std prevalence differs within sexual networks.",NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,"we measured risk perceptions for hiv/aids and 2 discharge-associated stds (gonorrhea and chlamydia) in 2 separate scales consisting of 5 questions each. we assessed the participant’s perception of her risk for each disease if she had unprotected sex with her main sex partner.",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"health; other: sexual diseases","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
