"","Journal","Volume","Issue","Pages","DOI","Abstract","author","paper_title","publication_year","data_availability","study_design","risk_1","risk_2","risk_3","risk_4","risk_5","measured_1","measured_2","measured_3","measured_4","measured_5","units_assessed_1","units_assessed_2","units_assessed_3","units_assessed_4","units_assessed_5","item_number_1","item_number_2","item_number_3","item_number_4","item_number_5","times_measured_1","times_measured_2","times_measured_3","times_measured_4","times_measured_5","study_1","study_2","study_3","study_4","study_5","intervention_yesno_1","intervention_yesno_2","intervention_yesno_3","intervention_yesno_4","intervention_yesno_5","exposure_yesno_1","exposure_yesno_2","exposure_yesno_3","exposure_yesno_4","exposure_yesno_5","domain","health","nature","crime","finance","nuclear","political","social","temporal_analysis_1","temporal_analysis_2","temporal_analysis_3","temporal_analysis_4","temporal_analysis_5","how_analyzed_1","how_analyzed_2","how_analyzed_3","how_analyzed_4","how_analyzed_5","correlation_results_1","correlation_results_1.1","correlation_results_1.2","correlation_results_1.3","correlation_results_1.4","correlation_results_1.5","correlation_results_1.6","correlation_results_1.7","correlation_results_1.8","correlation_results_2","correlation_results_3","correlation_results_4","correlation_results_5","ICC_results_1","ICC_results_1.1","temporal_trend_result_1","temporal_trend_result_2","temporal_trend_result_3","temporal_trend_result_4","temporal_trend_result_5","mean_difference_result_1","mean_difference_result_2","mean_difference_result_3","mean_difference_result_4","mean_difference_result_5","test-retest_interval_1","test-retest_interval_2","test-retest_interval_3","test-retest_interval_4","test-retest_interval_5","temporal_trend_interval_1","temporal_trend_interval_2","temporal_trend_interval_3","temporal_trend_interval_4","temporal_trend_interval_5","mean_difference_interval_1","mean_difference_interval_2","mean_difference_interval_3","mean_difference_interval_4","mean_difference_interval_5","type_participants_1","type_participants_2","type_participants_3","type_participants_4","type_participants_5","sample_category_1","sample_category_2","sample_category_3","sample_category_4","sample_category_5","age_category_1","age_category_2","age_category_3","age_category_4","age_category_5","country_1","country_2","country_3","country_4","country_5","sample_size_1","sample_size_2","sample_size_3","sample_size_4","sample_size_5","prop_female_1","prop_female_2","prop_female_3","prop_female_4","prop_female_5","mean_age_1","mean_age_2","mean_age_3","mean_age_4","mean_age_5","SD_age_1","SD_age_2","SD_age_3","SD_age_4","SD_age_5","lowest_age_1","lowest_age_2","lowest_age_3","lowest_age_4","lowest_age_5","highest_age_1","highest_age_2","highest_age_3","highest_age_4","highest_age_5"
"215","Addictive Behaviors",132,NA,NA,"10.1016/j.addbeh.2022.107359","Introduction: E-cigarettes have been marketed illicitly as smoking cessation aids and reduced risk tobacco products in the United States. Our study assessed consumers’ exposure to such claims and evaluated their impact on relative risk perceptions and e-cigarette use. Methods: Data are from the Assessment of the post-College Experience study, which followed a cohort of young adults since 2010 when they were college freshmen. We used data from survey waves 10 (fall 2017) through 14 (fall 2019) to assess past 6 month exposure to e-cigarette marketing that made smoking cessation or modified risk tobacco product (MRTP) claims. Logistic regression models examined if exposure to claims at waves 11 through 14 were predictors of e-cigarette use and relative risk perceptions at wave 14. Results: Exposure to MRTP (28.4% to 40.1%) and cessation claims (29.1% to 46.6%) increased, with participants reporting more exposure to cessation than MRTP claims at each wave. Multiple exposures were associated with perceptions that e-cigarettes are less harmful compared to cigarettes (Cessation: AOR = 1.12, CI: 1.01–1.23; p = 0.025; MRTP: AOR = 1.16; CI: 1.05–1.29; p = 0.003). Neither claim type was associated with past 30-day e-cigarette use. Claim exposure did not increase e-cigarette initiation among never e-cigarette users. However, current cigarette smokers who had never used e-cigarettes at wave 10 had 2.5 higher odds of initiating e-cigarette use by wave 14 for each exposure to a cessation claim (AOR = 2.53; CI: 1.43–4.45; p = 0.001). Conclusions: Young adults reported increasing exposure to unauthorized e-cigarette health claims. Exposure was associated with reduced relative risk perceptions, but was not associated with past 30-day e-cigarette use. Cessation claims may motivate current cigarette smokers to try e-cigarettes. © 2022 Elsevier Ltd","Wagoner","Exposure to e-cigarette health claims and association with e-cigarette use and risk perceptions: A cohort study of young adults",2022,NA,"longitudinal","risk",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"5",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"cigarettes",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.6188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Journal of Anxiety Disorders",88,NA,NA,"10.1016/j.janxdis.2022.102574","Vaccines are an important tool for governments and health agencies to contain and curb the Coronavirus Disease-19 (COVID-19) pandemic. However, despite their effectiveness and safeness, a substantial portion of the population worldwide is hesitant to get vaccinated. In the current study, we examined whether fear of COVID-19 predicts vaccination willingness. In a longitudinal study (N = 938), fear for COVID-19 was assessed in April 2020 and vaccination willingness was measured in June 2021. Approximately 11% of our sample indicated that they were not willing to get vaccinated. Results of a logistic regression showed that increased fear of COVID-19 predicts vaccination willingness 14 months later, even when controlling for several anxious personality traits, infection control perceptions, risks for loved ones, self-rated health, previous infection, media use, and demographic variables. These results show that fear of COVID-19 is a relevant construct to consider for predicting and possibly influencing vaccination willingness. Nonetheless, sensitivity and specificity of fear of COVID-19 to predict vaccination willingness were quite low and only became slightly better when fear of COVID-19 was measured concurrently. This indicates that other potential factors, such as perceived risks of the vaccines, probably also play a role in explaining vaccination willingness. © 2022 The Authors","Mertens","Fear of COVID-19 predicts vaccination willingness 14 months later",2022,"https://osf.io/ryndg/","longitudinal","worry","risk",NA,NA,NA,"scale","single item",NA,NA,NA,"likert scale","likert scale",NA,NA,NA,NA,1,NA,NA,NA,"2",2,NA,NA,NA,"single","single",NA,NA,NA,0,0,0,0,0,1,1,0,0,0,"health catastrophe; other: fear and vaccination",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","International Journal of Environmental Research and Public Health",19,"9",NA,"10.3390/ijerph19095034","Despite the negative health consequence of hookah, hookah risk perceptions are misguided among youth. Secondary data analysis of 12–17-year-old never hookah users at their first wave of PATH participation (2013–2019) was performed. The effect of perceptions of hookah harmfulness and addictiveness on the age of initiation ever, past 30-day, and fairly regular hookah use were estimated using interval-censored Cox proportional hazards models. The distribution of the age of initiation of hookah outcomes by perception levels of harmfulness and addictiveness are reported as cumulative incidence and 95% CI. Youth who perceived hookah to be neither harmful nor addictive were 173% more likely to initiate ever, 166% more likely to first report past 30-day use, and 142% more likely to first report fairly regular hookah use at earlier ages compared to youth who considered hookah to be both harmful and addictive. By age 18, 25.5% of youth who perceived hookah as neither harmful nor addictive were estimated to initiate ever hookah use while 9.3% of youth who perceived hookah as harmful and addictive were estimated to initiate ever hookah use. These findings indicate the need to provide prevention and education campaigns to change perceptions of the harmfulness and addictiveness of hookah to delay the age of initiation of hookah use. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Kuk","The Effect of Perceptions of Hookah Harmfulness and Addictiveness on the Age of Initiation of Hookah Use among Population Assessment of Tobacco and Health (PATH) Youth",2022,"data available upon request","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"cigarettes ; other: tabacco",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Journal of the American Board of Family Medicine",35,"2","284-294","10.3122/jabfm.2022.02.210272","Background: The COVID-19 pandemic has significantly impacted health care workers (HCW). Most research focused on the adverse mental health effects during the initial surge of cases; and yet little is known about approximately how workers are faring 1 year into the pandemic. The objective of this study is to examine stress, burnout, and risk perception in an academic medical system, 1 year after the start of the pandemic. Methods: HCW across care specialties participated in online surveys in Spring 2020 and Spring 2021. The surveys included questions related to workplace stress and risk perception related to COVID-19. Correlates of stress and burnout were explored using multivariable linear regression models. Professional Quality of Life Scale (PROQOL) questions were added to the second survey. Results: While HCW reported significantly fewer concerns about the risk of COVID-19 transmission to themselves and their families during the 2021 survey (compared with 2020), the percentage of workers who reported feeling excess stress at work or considered resigning stayed the same. One year into the pandemic, 57% of study participants met criteria for moderate or high levels of traumatic stress and 75% met criteria for moderate or high levels of burnout. As compared with participants who cared for no COVID-19 deaths, participants who cared for COVID-19 patients who died had significantly higher traumatic stress (1 to 10: Coef. = 2.7, P = .007; >10: Coef. = 6.7, P<.001) and burnout scores (1 to 10: Coef. = 2.7, P = .004; >10: Coef. = 2.6, P = .036). Conclusion: While Although perceptions of risk declined over the course of the year, levels of stress still remained high despite high vaccination rates. Those who witnessed more COVID-19 deaths were more likely to report increased burnout and post-traumatic stress. As our nation continues to grapple with the COVID-19 pandemic and new variants emerge it is imperative to focus on recovery strategies for high burnout groups to ensure the wellbeing of our health care workforce. © 2022 American Board of Family Medicine. All rights reserved.","Yamane","Hospital-Based Healthcare Worker Perceptions of
Personal Risk Related to COVID-19: One Year Follow-Up",2022,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"19",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe; other: occupational",1,0,0,0,0,0,1,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Social Psychological Bulletin",17,"1",NA,"10.32872/spb.7515","The adoption and acceptance of protective measures are crucial for containing the ongoing coronavirus disease (COVID-19) pandemic. In a recent article in this journal, Dohle et al. (https://doi.org/10.32872/spb.4315) investigated the influence of risk perceptions and trust in politics and science on those constructs in March/April 2020. Since then, the pandemic has undergone several dynamic changes. We analyzed longitudinal data (N = 800) to investigate whether trust and risk were relevant predictors for pandemic measures at a later stage (October 2020/January 2021). The concept of risk perception was supplemented by risk attitude and affective risk to produce a more comprehensive picture of the risk component. We found that greater trust in science at time point 1 predicted less rejection and more adoption of measures at time point 2. Moreover, trust in politics predicted less rejection of measures. From all aspects of cognitive risk perception, only higher severity predicted lower rejection. All other cognitive aspects were non-significant. However, affective risk was shown to be a major predictor: the more the coronavirus was perceived as frightening and worrisome, the lower the rejection and more frequent the adoption of measures. Also, the higher the risk attitude related to health topics, the less frequent the implementation of measures. We replicated the analysis with predictors from time point 2 and deviations are discussed. Our results indicate that affective risk and general attitude toward health risk are more predictive of taking up measures in the context of COVID-19 than cognitive risk. © Authors 2021.","Ochel","Determinants of Adoption and Rejection of Protective Measures During the SARS-CoV-2 Pandemic: A Longitudinal Study in Germany’s Second Wave",2022,"https://doi.org/10.17605/osf.io/e2y5p","longitudinal","risk","risk","risk",NA,NA,"scale","scale","scale",NA,NA,"likert scale","likert scale","likert scale",NA,NA,"8",87,NA,NA,NA,"2",2,2,NA,NA,"single","single","single",NA,NA,0,0,0,0,0,1,1,1,0,0,"health catastrophe; other: trust in politics",1,0,0,0,0,1,0,1,1,0,NA,NA,"mean difference","mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople","laypeople",NA,NA,NA,NA,NA,NA,NA,NA,"adults","adults",NA,NA,NA,"germany","germany",NA,NA,NA,800,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Jornal Brasileiro de Psiquiatria",71,"2","100-107","10.1590/0047-2085000000361","Objective: Generalized anxiety disorder (GAD) is a chronic and disabling disorder associated with various impairments and shows a significant prevalence in the worldwide and Brazilian populations. This study aimed to investigate the longitudinal relationship of two symptoms relevant to the disorder (worry and depressive symptoms) in the context of a randomized clinical trial (RCT) by using a cross-la-gged panel model (CLPM) analysis. Methods: A total of 92 adult patients with GAD were randomized to receive ten sessions of either acceptance‐based group behavioral therapy (ABBT) or nondirective supportive group therapy (NDST). Treatment had four time-point measures. Worries were measured using the Penn State Worry Questionnaire (PSWQ), and depression was measured using the Depression Anxiety Stress Scales (DASS-D). Results: The NDST model revealed significant paths from worry to depression (first wave) and from depression to worry (second wave). There was no other significant cross-lagged effect. These data show that there was an influence between symptoms only during one of the treatment groups, and without a homogeneous and constant pattern in any of the cross-lagged routes. Conclusion: A supportive group psychotherapy potentially interferes with the pattern of the direct relationship between worries and depressive symptoms in adults with GAD. © 2022, Editora Cientifica Nacional Ltda. All rights reserved.","Martins","Relationships between worry and depressive symptoms during two group therapies for generalized anxiety disorder",2022,"data available upon request","longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"24",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"health; other: generalized anxiety disorder",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Journal of Medical Internet Research",23,"11",NA,"10.2196/26743","Background: The foray of COVID-19 around the globe has certainly instigated worries in many people, and lockdown measures may well have triggered more specific worries. Sweden, more than other countries, relied on voluntary measures to fight the pandemic. This provides a particularly interesting context to assess people’s reactions to the threat of the pandemic. Objective: The general aim of this study was to better understand the worried reactions to the virus and the associated lockdown measures. As there have been very few longitudinal studies in this area published to date, development of feelings of worry over time was analyzed over a longer range than in previous research. Affective variables, worry in particular, were included because most of the research in this field has focused on cognitive variables. To employ new methodology, ecological momentary assessment was used for data collection and a multilevel modeling approach was adopted for data analysis. Methods: Results were based on an unbalanced panel sample of 260 Swedish participants filling in 3226 interview questionnaires by smartphone over a 7-week period in 2020 during the rapid rise of cases in the early phase of the pandemic. Causal factors considered in this study included the perceived severity of an infection, susceptibility of a person to the threat posed by the virus, perceived efficacy of safeguarding measures, and assessment of government action against the spread of COVID-19. The effect of these factors on worries was traced in two analytical steps: the effects at the beginning of the study and the effect on the trend during the study. Results: The level of general worry related to COVID-19 was modest (mean 6.67, SD 2.54 on an 11-point Likert scale); the increase during the study period was small, but the interindividual variation of both the worry level and its increase over time was large. Findings confirmed that the hypothesized causal factors (severity of infection, susceptibility to the threat of the virus, efficacy of safeguarding, and assessment of government preventive action) did indeed affect the level of worry. Conclusions: The results confirmed earlier research in a very special case and demonstrated the usefulness of a different study design, which takes a longitudinal perspective, and a new type of data analysis borrowed from multilevel study design. © 2021 Journal of Medical Internet Research. All rights reserved.","Schulz","Using Ecological Momentary Assessment to Study the
Development of COVID-19 Worries in Sweden: Longitudinal Study",2021,NA,"longitudinal","worry",NA,NA,NA,NA,"single item",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"1",NA,NA,NA,NA,"28",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health catastrophe",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"temporal trend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"sweden",NA,NA,NA,NA,262,NA,NA,NA,NA,0.76,NA,NA,NA,NA,"49.6",NA,NA,NA,NA,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Journal of Hydrology",599,NA,NA,"10.1016/j.jhydrol.2021.126255","Insights into the heterogeneity of human behaviours and attitudes toward risk require the understanding of the role played by a plurality of factors, such as risk awareness and trust. However, our knowledge of the interplay of these factors is limited, as is our knowledge of the patterns in risk attitudes and behaviours and their evolution over time. This study explores the interplay between attitudes and behaviours related to flood risk awareness and structural flood protection in two communities in the Eastern Italian Alps, and how they changed over time. To this end, a questionnaire was submitted to a total of 420 residents, in the year 2005 (N = 200) and 2018 (N = 220), and then analysed using Latent Class Analysis. No floods were recorded in the area during this period. The results show that there is a group of residents characterized by low risk awareness and high trust in structural flood protection. Such individuals are likely to live in urban – rather than mountain – communities and are characterized by a lack of or limited experience with floods. They are also prone to believe that such events will not happen in the future. In 2005, this group represented less than half of the sample, but its size substantially increased in 2018. This result has strong implications for local risk managers, because this group of residents is less risk aware than the others and they may deserve special attention and targeted messages in flood risk communication campaigns. This and other results are discussed, including the potential development of generalizable models to provide emergency and risk managers with tools to unveil risk awareness patterns and to tailor risk communication actions to citizens attitudes and behaviours. The paper ends with some considerations about the need not only to better understand but also to address diversity in flood risk awareness. © 2021","Franceschinis","Heterogeneity in flood risk awareness: A longitudinal, latent class model approach",2021,NA,"serial cross-sectional","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"5",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"natural catastrophe; other: floods",0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Environment Systems and Decisions",41,"2","227-235","10.1007/s10669-020-09789-6","There is great value in understanding the public’s reactions to terror attacks, though such reactions pose stark challenges for sound psychological investigation. Reactions to terrorism (as with any other threat) involve emotional and cognitive components, and the degree to which they reciprocally interact is not well understood. Furthermore, much of the literature on the public response to terrorism is based on the construct of “risk perception,” whose precise definition and correlates are still ambiguous. This study aimed to more clearly disentangle the various emotional and cognitive facets that predict individuals’ response to the terrorism threat in the United States. We employed a longitudinal survey from a representative U.S. sample (n = 1057) and measured attitudinal and cognitive reactions to the threat of terrorism at both time points. An autoregressive latent variable model was used to assess the stability of such variables over time, as well as their reciprocal effects on one another. Participants’ emotional and cognitive reactions to the threat of terrorism evolved independently over time, contrary to the predictions of some prior risk perception literature. Furthermore, measurements of risk perception depended mostly on prior estimates of attack likelihood, emphasizing the importance of individuals’ assessments of hazard probability in the risk judgment process. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Baucum","Modeling affective and cognitive responses to soft‑target terrorism over time.",2021,"knowledgepanel®  https://www.ipsos.com/en-us/solutions/public-affairs/knowledgepanel","longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"other: terrorism",0,0,1,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,"0.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,1052,NA,NA,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Journal of Diabetes Science and Technology",15,"5","1093-1097","10.1177/1932296820929420","Background: Existing research shows that hypoglycemia fear (HF) is common in parents of children with established type 1 diabetes (T1D). We examined parental HF in the T1D recent-onset period and evaluated whether continuous glucose monitoring (CGM) adoption relates to improved outcomes of parental HF. Methods: In TACKLE-T1D, a prospective study of five- to nine-year olds with recent-onset T1D, parents completed the Hypoglycemia Fear Survey-Parents (HFS-P) at baseline (T1) and 6 (T2) and 12 (T3) months post-baseline. The HFS-P measures worry about hypoglycemia (HFS-Worry score) as well as hypoglycemia avoidance behaviors (HFS-Behavior score). We recorded CGM start dates for youth during the same time period through medical record review. Results: Between T1 and T2, 31 youth (32.3%) initiated CGM therapy, and between T2 and T3, an additional 17 youth (17.7%) began using CGM, leaving 48 youth who never initiated CGM therapy (50%) in the recent-onset period. Parents reported moderate HFS-Worry scores at T1 (32.9 ± 11.9), which increased between T1 and T2 (37.6 ± 11.4, P <.001) and plateaued between T2 and T3 (37.7 ± 12.4, P =.89). In contrast, parental HFS-Behavior scores decreased between T1 (33.1 ± 5.8) and T2 (32.2 ± 6.0, P =.005) and plateaued between T2 and T3 (32.2 ± 6.0, P =.95). Baseline HFS-Behavior and Worry scores were associated with increased adoption of CGM between T1-T2 and T2-T3, respectively. Parents of children initiating CGM therapy between T1 and T2 showed the largest decrease in HFS-Behavior (P =.03). Conclusions: Initiating CGM therapy within the first 12 months of T1D may help reduce parents’ use of hypoglycemia avoidance behaviors, but has little effect on parents’ hypoglycemia worry. © 2020 Diabetes Technology Society.","Youngkin","Continuous Glucose Monitoring Decreases Hypoglycemia Avoidance Behaviors, but Not Worry in Parents of Youth With New Onset Type 1 Diabetes",2020,NA,"longitudinal","worry",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"15",NA,NA,NA,NA,"3",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,"health; other: diabetes",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"mean difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"significant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"parents",NA,NA,NA,NA,"adults",NA,NA,NA,NA,"usa",NA,NA,NA,NA,128,NA,NA,NA,NA,0.79,NA,NA,NA,NA,"36.8",NA,NA,NA,NA,6.4,NA,NA,NA,NA,24,NA,NA,NA,NA,"54",NA,NA,NA,NA
"225","Archives of Physiotherapy",9,"1",NA,"10.1186/s40945-019-0065-4","Background: Older adults with type 2 diabetes (DM2) are at increased risk of falling due to complications including: diabetic peripheral neuropathy, diabetic retinopathy, autonomic neuropathy and diabetic foot ulcers. The purpose of this study was to determine the test-retest reliability, internal consistency, construct validity and to perform factor analysis of a new falls Risk Perception Questionnaire (RPQ) in older community-dwelling adults with DM2. Methods: A prospective cohort of 30 community-dwelling older adults, ≥ 55 years, with DM2 was assembled. At baseline, perceived risk of falling, fear of falling and physical activity were measured. At time 2 (T2), at least 2 days later, perceived risk of falling was assessed again to determine the test-retest reliability of the RPQ. At time 3 (T3), approximately six weeks later, and time 4 (T4), at least 2 days after T3, perceived risk of falling was assessed by phone to determine the test-retest reliability of the RPQ when administered by phone. Results: The RPQ demonstrated excellent test-retest reliability when delivered in person (ICC = 0.78, 95% Confidence Interval, CI: 0.59–0.89) and by phone (ICC = 0.82, 95% CI: 0.65–0.91), good internal consistency (α = 0.78) and adequate construct validity (r = 0.52, 95% CI: 0.20–0.74, p = 0.003) in older adults with DM2. Conclusion: Given the good psychometric properties in this sample of persons with Diabetes, the RPQ has the potential to be used in clinical practice as a risk assessment and fall prevention tool. However, further testing needs to be done using a larger sample. © 2019, The Author(s).","Gravesande","Test-retest reliability, internal consistency, construct validity and factor structure of a falls risk perception questionnaire in older adults with type 2 diabetes mellitus: a prospective cohort study",2019,NA,"longitudinal","risk",NA,NA,NA,NA,"scale",NA,NA,NA,NA,"likert scale",NA,NA,NA,NA,"20",NA,NA,NA,NA,"4",NA,NA,NA,NA,"single",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"other: questionnaire validation",1,0,0,0,0,0,0,1,NA,NA,NA,NA,"test-retest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.78","0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"laypeople",NA,NA,NA,NA,"clinical/patients",NA,NA,NA,NA,"older adults",NA,NA,NA,NA,"canada",NA,NA,NA,NA,30,NA,NA,NA,NA,0.6,NA,NA,NA,NA,"68.6",NA,NA,NA,NA,6.9,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
